bigram,log_odds_ratio
like quick,-1.1357
love blink,-1.1357
made cheap,-1.1357
made thin,-1.1357
making sense,-1.1357
man named,-1.1357
many women,-1.1357
mean anything,-1.1357
mean even,-1.1357
mess like,-1.1357
might improve,-1.1357
money next,-1.1357
money purchase,-1.1357
months also,-1.1357
need say,-1.1357
network settings,-1.1357
never lies,-1.1357
new batteries,-1.1357
new clothes,-1.1357
next purchase,-1.1357
nights reading,-1.1357
novel amazing,-1.1357
odd shape,-1.1357
oddly enough,-1.1357
one says,-1.1357
one showed,-1.1357
online came,-1.1357
online find,-1.1357
opened first,-1.1357
page says,-1.1357
paid product,-1.1357
paid subscription,-1.1357
part setup,-1.1357
past christmas,-1.1357
payment options,-1.1357
people turn,-1.1357
placed one,-1.1357
playing want,-1.1357
plot one,-1.1357
possible use,-1.1357
possibly even,-1.1357
pouring vegetable,-1.1357
problem going,-1.1357
problems always,-1.1357
proctor gamble,-1.1357
product better,-1.1357
product disappointed,-1.1357
product picture,-1.1357
products something,-1.1357
products would,-1.1357
purchased installed,-1.1357
put different,-1.1357
quality compared,-1.1357
quality different,-1.1357
quality time,-1.1357
ran away,-1.1357
read chapters,-1.1357
read may,-1.1357
really dropped,-1.1357
really meant,-1.1357
reason star,-1.1357
received bad,-1.1357
received pack,-1.1357
recommend unless,-1.1357
refrigerator water,-1.1357
refurbished one,-1.1357
regular swaddlers,-1.1357
returned amazon,-1.1357
review original,-1.1357
ring security,-1.1357
said hard,-1.1357
saving grace,-1.1357
say something,-1.1357
say try,-1.1357
saying trying,-1.1357
seem made,-1.1357
series story,-1.1357
showed negative,-1.1357
sick days,-1.1357
significant amount,-1.1357
significantly lighter,-1.1357
sitting back,-1.1357
something called,-1.1357
soon realized,-1.1357
sound set,-1.1357
spend little,-1.1357
star received,-1.1357
story always,-1.1357
story seem,-1.1357
strong woman,-1.1357
suck air,-1.1357
sure end,-1.1357
sure received,-1.1357
take daughter,-1.1357
take risk,-1.1357
talk someone,-1.1357
tell first,-1.1357
tennis ball,-1.1357
terrible product,-1.1357
thing used,-1.1357
things got,-1.1357
things wrong,-1.1357
think reason,-1.1357
though even,-1.1357
throughout novel,-1.1357
throw trash,-1.1357
time something,-1.1357
time taken,-1.1357
time today,-1.1357
times also,-1.1357
times finally,-1.1357
told needed,-1.1357
took extra,-1.1357
toward end,-1.1357
tried download,-1.1357
try liked,-1.1357
unplugging plugging,-1.1357
update sent,-1.1357
use cards,-1.1357
use waste,-1.1357
used great,-1.1357
video footage,-1.1357
waiting days,-1.1357
want amazon,-1.1357
water filtered,-1.1357
way ahead,-1.1357
way different,-1.1357
way page,-1.1357
web interface,-1.1357
week got,-1.1357
week need,-1.1357
weeks back,-1.1357
weird know,-1.1357
went cheap,-1.1357
whole point,-1.1357
wifi similar,-1.1357
wished would,-1.1357
without applying,-1.1357
without subscription,-1.1357
wonder would,-1.1357
work correctly,-1.1357
work supposed,-1.1357
working weeks,-1.1357
would accept,-1.1357
would replace,-1.1357
would times,-1.1357
year two,-1.1357
yet work,-1.1357
york times,-1.1357
get money,-1.0955
email address,-1.0872
get notification,-1.0590
please buy,-1.0579
bad quality,-1.0569
buying walmart,-1.0569
cards one,-1.0569
cheap quality,-1.0569
claim code,-1.0569
contact amazon,-1.0569
generation device,-1.0569
get fixed,-1.0569
get working,-1.0569
guess get,-1.0569
much thinner,-1.0569
new box,-1.0569
one said,-1.0569
order received,-1.0569
reason bought,-1.0569
received gift,-1.0569
red flag,-1.0569
something right,-1.0569
thing got,-1.0569
try buy,-1.0569
update well,-1.0569
even care,-1.0288
times keep,-1.0288
actually made,-1.0274
got sick,-1.0274
product work,-1.0274
amazon could,-1.0202
amazon product,-1.0120
third time,-1.0120
hour two,-0.9920
hour later,-0.9622
anyone could,-0.9618
amazon products,-0.9606
roblox account,-0.9606
send new,-0.9606
spent hours,-0.9606
tried get,-0.9606
wanted like,-0.9606
little money,-0.9602
made usa,-0.9602
purchase product,-0.9602
stick cam,-0.9602
access camera,-0.9598
account sure,-0.9598
add card,-0.9598
also could,-0.9598
better books,-0.9598
brown box,-0.9598
call customer,-0.9598
complete sentences,-0.9598
could actually,-0.9598
could good,-0.9598
day even,-0.9598
disappointed one,-0.9598
end well,-0.9598
even attempt,-0.9598
even large,-0.9598
first device,-0.9598
first wash,-0.9598
five times,-0.9598
fumbling around,-0.9598
get clear,-0.9598
got bed,-0.9598
indoor cam,-0.9598
know ring,-0.9598
like plastic,-0.9598
longer use,-0.9598
lot smaller,-0.9598
many levels,-0.9598
many parts,-0.9598
may say,-0.9598
missed mark,-0.9598
money something,-0.9598
nest cameras,-0.9598
nothing would,-0.9598
one cameras,-0.9598
opened looked,-0.9598
outer banks,-0.9598
part movie,-0.9598
parts story,-0.9598
popular mechanics,-0.9598
products amazon,-0.9598
quite right,-0.9598
really thin,-0.9598
really went,-0.9598
replace batteries,-0.9598
return product,-0.9598
review instead,-0.9598
several chapters,-0.9598
someone love,-0.9598
started noticing,-0.9598
still nothing,-0.9598
strong character,-0.9598
talk like,-0.9598
time called,-0.9598
times year,-0.9598
town would,-0.9598
use eero,-0.9598
vegetable oil,-0.9598
within month,-0.9598
within weeks,-0.9598
wonder many,-0.9598
worth risk,-0.9598
would called,-0.9598
would worked,-0.9598
wrong said,-0.9598
able remember,-0.9594
able send,-0.9594
able turn,-0.9594
access much,-0.9594
account account,-0.9594
account devices,-0.9594
activation fee,-0.9594
activities like,-0.9594
actually told,-0.9594
actually way,-0.9594
add money,-0.9594
adding information,-0.9594
adding snack,-0.9594
adult content,-0.9594
ago drinking,-0.9594
ago loved,-0.9594
ago problem,-0.9594
air last,-0.9594
air many,-0.9594
alexa amazon,-0.9594
allows water,-0.9594
along sides,-0.9594
along time,-0.9594
already account,-0.9594
also control,-0.9594
also difficult,-0.9594
also last,-0.9594
also since,-0.9594
also somehow,-0.9594
also wish,-0.9594
always able,-0.9594
always order,-0.9594
always played,-0.9594
amazon allow,-0.9594
amazon cancelled,-0.9594
amazon check,-0.9594
amazon decided,-0.9594
amazon microsoft,-0.9594
amazon pay,-0.9594
amazon shopping,-0.9594
amazon still,-0.9594
amazon sure,-0.9594
amazon thinks,-0.9594
amazon throw,-0.9594
amazon used,-0.9594
amazon wanted,-0.9594
amazon went,-0.9594
ambient light,-0.9594
america anyway,-0.9594
amount greed,-0.9594
another days,-0.9594
another months,-0.9594
anyone idea,-0.9594
anything say,-0.9594
anyway people,-0.9594
apple fan,-0.9594
apple music,-0.9594
applications still,-0.9594
approved device,-0.9594
around area,-0.9594
around minutes,-0.9594
around still,-0.9594
arrived opened,-0.9594
ask going,-0.9594
ask set,-0.9594
asked specific,-0.9594
asks every,-0.9594
attempt make,-0.9594
audio settings,-0.9594
audio works,-0.9594
authentic hydro,-0.9594
away know,-0.9594
away needed,-0.9594
away product,-0.9594
away would,-0.9594
awhile get,-0.9594
baby bottle,-0.9594
baby room,-0.9594
back hips,-0.9594
back magazine,-0.9594
back make,-0.9594
back package,-0.9594
back packaging,-0.9594
back part,-0.9594
back right,-0.9594
back using,-0.9594
bad going,-0.9594
bag cup,-0.9594
barely made,-0.9594
barely work,-0.9594
base unit,-0.9594
basic white,-0.9594
become dangerous,-0.9594
bed love,-0.9594
bed sleeping,-0.9594
beginning movie,-0.9594
beginning use,-0.9594
behind back,-0.9594
best available,-0.9594
best hardware,-0.9594
better keep,-0.9594
better product,-0.9594
big dark,-0.9594
black mold,-0.9594
black screen,-0.9594
blood work,-0.9594
board games,-0.9594
body face,-0.9594
book better,-0.9594
book collections,-0.9594
book given,-0.9594
book incredibly,-0.9594
book note,-0.9594
book received,-0.9594
book reviews,-0.9594
book writing,-0.9594
books already,-0.9594
books etc,-0.9594
books looking,-0.9594
bottle leaks,-0.9594
bottle wine,-0.9594
bought instead,-0.9594
bought large,-0.9594
bought least,-0.9594
bought mom,-0.9594
bought replacement,-0.9594
bought something,-0.9594
bought thinking,-0.9594
bought wanted,-0.9594
box another,-0.9594
box crushed,-0.9594
box new,-0.9594
box price,-0.9594
box states,-0.9594
box tried,-0.9594
boxes arrived,-0.9594
brad pitt,-0.9594
brand also,-0.9594
brand model,-0.9594
bright room,-0.9594
broke fix,-0.9594
business owner,-0.9594
buy better,-0.9594
buy directly,-0.9594
buy going,-0.9594
buy never,-0.9594
buy seller,-0.9594
buying even,-0.9594
buying filters,-0.9594
buying item,-0.9594
call day,-0.9594
cam ring,-0.9594
came apart,-0.9594
came completely,-0.9594
came packs,-0.9594
camera advertised,-0.9594
camera day,-0.9594
camera person,-0.9594
camera recording,-0.9594
camera remotely,-0.9594
cancel anytime,-0.9594
cancelled subscription,-0.9594
cannot even,-0.9594
cant really,-0.9594
captain america,-0.9594
captain marvel,-0.9594
car happy,-0.9594
car highly,-0.9594
car trip,-0.9594
card arrived,-0.9594
card billed,-0.9594
card file,-0.9594
card work,-0.9594
cards different,-0.9594
cards son,-0.9594
case number,-0.9594
catch fire,-0.9594
cats fish,-0.9594
caught every,-0.9594
caught fire,-0.9594
caught interest,-0.9594
chance use,-0.9594
change change,-0.9594
changed ingredients,-0.9594
changed new,-0.9594
changing things,-0.9594
channing tatum,-0.9594
character voices,-0.9594
characters form,-0.9594
characters would,-0.9594
charge battery,-0.9594
cheaper walmart,-0.9594
chewer dog,-0.9594
child still,-0.9594
choking hazards,-0.9594
clean prep,-0.9594
clear needed,-0.9594
close door,-0.9594
clothes first,-0.9594
colors screen,-0.9594
com get,-0.9594
come conclusion,-0.9594
comfortable hot,-0.9594
comfortable using,-0.9594
coming apart,-0.9594
company states,-0.9594
company told,-0.9594
completely eliminate,-0.9594
concern say,-0.9594
connect even,-0.9594
constant companion,-0.9594
constantly wet,-0.9594
content netflix,-0.9594
convenient apparently,-0.9594
costumer service,-0.9594
cotton polyester,-0.9594
could argue,-0.9594
could send,-0.9594
couple ounces,-0.9594
crazy read,-0.9594
critical review,-0.9594
cup come,-0.9594
current software,-0.9594
curse words,-0.9594
cut scissors,-0.9594
cutting corners,-0.9594
damaged paint,-0.9594
darn thing,-0.9594
daughter watched,-0.9594
day honestly,-0.9594
day immediately,-0.9594
day kindle,-0.9594
day placed,-0.9594
day several,-0.9594
day tell,-0.9594
days ahead,-0.9594
days neither,-0.9594
dead air,-0.9594
decided wait,-0.9594
defeats purpose,-0.9594
delivered yesterday,-0.9594
destroyed camera,-0.9594
device features,-0.9594
device look,-0.9594
device may,-0.9594
device need,-0.9594
device simply,-0.9594
device since,-0.9594
device used,-0.9594
device well,-0.9594
devices also,-0.9594
devices installed,-0.9594
devices network,-0.9594
devices one,-0.9594
devices think,-0.9594
devices well,-0.9594
diaper size,-0.9594
diaper wipes,-0.9594
diapers pampers,-0.9594
diapers wipes,-0.9594
diet water,-0.9594
different look,-0.9594
different seller,-0.9594
dig deep,-0.9594
digital copy,-0.9594
direct quote,-0.9594
disappointed first,-0.9594
disappointed using,-0.9594
dolby digital,-0.9594
done nothing,-0.9594
dont waste,-0.9594
doorbell signal,-0.9594
doorbell would,-0.9594
double click,-0.9594
downloaded without,-0.9594
drinking half,-0.9594
drops yet,-0.9594
dry helped,-0.9594
due heavy,-0.9594
duracell batteries,-0.9594
early life,-0.9594
easily even,-0.9594
edit case,-0.9594
elderly mother,-0.9594
electric sharpener,-0.9594
else problem,-0.9594
email got,-0.9594
empty bottle,-0.9594
english well,-0.9594
enjoyed first,-0.9594
enough drive,-0.9594
enough money,-0.9594
enough write,-0.9594
enter credit,-0.9594
entire back,-0.9594
entirely different,-0.9594
error codes,-0.9594
especially low,-0.9594
etc collecting,-0.9594
even borrowed,-0.9594
even plastic,-0.9594
even purchased,-0.9594
even single,-0.9594
even sleep,-0.9594
even someone,-0.9594
ever encountered,-0.9594
every lie,-0.9594
every new,-0.9594
exact model,-0.9594
exactly got,-0.9594
except bit,-0.9594
exceptional writing,-0.9594
excited use,-0.9594
expected better,-0.9594
expensive cost,-0.9594
expensive diapers,-0.9594
expensive going,-0.9594
experience want,-0.9594
experienced issues,-0.9594
experiencing problems,-0.9594
exposed sun,-0.9594
extra step,-0.9594
factor authentication,-0.9594
failed miserably,-0.9594
family everyone,-0.9594
far little,-0.9594
far luck,-0.9594
far many,-0.9594
fashioned way,-0.9594
fast amazon,-0.9594
favorite feature,-0.9594
feel different,-0.9594
feel real,-0.9594
feet look,-0.9594
fell short,-0.9594
felt bad,-0.9594
figure bet,-0.9594
figured time,-0.9594
filled morning,-0.9594
filter buy,-0.9594
filter four,-0.9594
filter make,-0.9594
filter new,-0.9594
filter replacement,-0.9594
filter takes,-0.9594
filters two,-0.9594
find actual,-0.9594
finding good,-0.9594
fine months,-0.9594
fine tune,-0.9594
fire problem,-0.9594
firestick even,-0.9594
first dropped,-0.9594
first episode,-0.9594
first hold,-0.9594
first made,-0.9594
first ones,-0.9594
first three,-0.9594
fish oil,-0.9594
fix must,-0.9594
fix two,-0.9594
flavor first,-0.9594
flavor pineapple,-0.9594
flavors tried,-0.9594
flies really,-0.9594
flies spread,-0.9594
float boat,-0.9594
floor result,-0.9594
foam would,-0.9594
follow review,-0.9594
following year,-0.9594
food cats,-0.9594
food poisoning,-0.9594
food safe,-0.9594
food use,-0.9594
food would,-0.9594
forward watching,-0.9594
found fruit,-0.9594
four corners,-0.9594
four five,-0.9594
free safe,-0.9594
fresh ones,-0.9594
friend said,-0.9594
friendly interface,-0.9594
full less,-0.9594
fully cover,-0.9594
gay pride,-0.9594
gentle breeze,-0.9594
get bottle,-0.9594
get buying,-0.9594
get cleaned,-0.9594
get decent,-0.9594
get defective,-0.9594
get nothing,-0.9594
get removed,-0.9594
get sorry,-0.9594
get super,-0.9594
get trade,-0.9594
given good,-0.9594
given stars,-0.9594
gloves ever,-0.9594
god knows,-0.9594
going die,-0.9594
going disappointed,-0.9594
going far,-0.9594
going gym,-0.9594
going place,-0.9594
going send,-0.9594
gone girl,-0.9594
good addition,-0.9594
good become,-0.9594
good guy,-0.9594
good must,-0.9594
got boyfriend,-0.9594
got different,-0.9594
got food,-0.9594
got instructions,-0.9594
great except,-0.9594
great fact,-0.9594
great performance,-0.9594
great potential,-0.9594
great stainless,-0.9594
great thick,-0.9594
great walk,-0.9594
guy named,-0.9594
hail mary,-0.9594
hard drink,-0.9594
hardware limitation,-0.9594
headphone stand,-0.9594
hear unless,-0.9594
heard noises,-0.9594
held attention,-0.9594
hell want,-0.9594
helpful people,-0.9594
high even,-0.9594
high fidelity,-0.9594
high temp,-0.9594
hockey pucks,-0.9594
holding together,-0.9594
hole bottom,-0.9594
holes bottom,-0.9594
hollywood crap,-0.9594
home bought,-0.9594
home cannot,-0.9594
home defense,-0.9594
home figured,-0.9594
home improvement,-0.9594
home try,-0.9594
home want,-0.9594
hoover writing,-0.9594
horrible idea,-0.9594
horrible smell,-0.9594
horse said,-0.9594
hour gave,-0.9594
hours make,-0.9594
hours night,-0.9594
however even,-0.9594
however going,-0.9594
however opened,-0.9594
huge mistake,-0.9594
human error,-0.9594
husband literally,-0.9594
immediately put,-0.9594
inches less,-0.9594
incredibly dry,-0.9594
information could,-0.9594
information get,-0.9594
inside amazon,-0.9594
inside book,-0.9594
inside filter,-0.9594
inside white,-0.9594
install without,-0.9594
installing setting,-0.9594
instead need,-0.9594
instead old,-0.9594
instead reading,-0.9594
instructions pretty,-0.9594
interesting author,-0.9594
iphone see,-0.9594
island per,-0.9594
issue also,-0.9594
issue devices,-0.9594
issue quite,-0.9594
issue said,-0.9594
issue took,-0.9594
issues good,-0.9594
issues hearing,-0.9594
issues started,-0.9594
item amazon,-0.9594
item back,-0.9594
item next,-0.9594
ivy league,-0.9594
judge distance,-0.9594
keep company,-0.9594
keep falling,-0.9594
keep going,-0.9594
keep mom,-0.9594
keeps telling,-0.9594
kept changing,-0.9594
kept reading,-0.9594
key already,-0.9594
kid still,-0.9594
kids held,-0.9594
kids next,-0.9594
kids playing,-0.9594
kids smell,-0.9594
kids took,-0.9594
kind hearted,-0.9594
kindle little,-0.9594
kindle seen,-0.9594
kindle update,-0.9594
know cause,-0.9594
know hand,-0.9594
know issue,-0.9594
know stay,-0.9594
know turns,-0.9594
know usually,-0.9594
know yet,-0.9594
knows else,-0.9594
labels take,-0.9594
last entire,-0.9594
last order,-0.9594
last sunday,-0.9594
lasted almost,-0.9594
later took,-0.9594
latest update,-0.9594
leaking bags,-0.9594
leaking well,-0.9594
leaks time,-0.9594
least expect,-0.9594
least ten,-0.9594
leave bad,-0.9594
left area,-0.9594
left box,-0.9594
left inches,-0.9594
legs spread,-0.9594
less days,-0.9594
less money,-0.9594
let amazon,-0.9594
let rest,-0.9594
letting know,-0.9594
lid pops,-0.9594
light wife,-0.9594
lights blue,-0.9594
lightweight plastic,-0.9594
like add,-0.9594
like annoying,-0.9594
like couple,-0.9594
like cute,-0.9594
like either,-0.9594
like fly,-0.9594
like girl,-0.9594
like parent,-0.9594
like seen,-0.9594
like throw,-0.9594
liked book,-0.9594
liked know,-0.9594
link redeem,-0.9594
listed product,-0.9594
literally cried,-0.9594
literally fall,-0.9594
literally thing,-0.9594
local retailers,-0.9594
lock place,-0.9594
long hold,-0.9594
longer anything,-0.9594
look terrible,-0.9594
looking made,-0.9594
looking replacement,-0.9594
lost item,-0.9594
lot pain,-0.9594
loud obnoxious,-0.9594
love absolutely,-0.9594
love past,-0.9594
love song,-0.9594
loved quality,-0.9594
lower resolution,-0.9594
lower stomach,-0.9594
made simple,-0.9594
mail carrier,-0.9594
mail got,-0.9594
major gripe,-0.9594
major reason,-0.9594
make adjustments,-0.9594
make breakfast,-0.9594
make video,-0.9594
makes bed,-0.9594
makes way,-0.9594
male lead,-0.9594
many bags,-0.9594
many duplicates,-0.9594
many get,-0.9594
many one,-0.9594
market test,-0.9594
matter channel,-0.9594
maybe bad,-0.9594
mean time,-0.9594
means despite,-0.9594
mess would,-0.9594
mildew resistant,-0.9594
milk spills,-0.9594
mins later,-0.9594
mixes well,-0.9594
modem could,-0.9594
mom one,-0.9594
money device,-0.9594
money must,-0.9594
money one,-0.9594
money want,-0.9594
monitor house,-0.9594
month cancel,-0.9594
month decided,-0.9594
month may,-0.9594
months get,-0.9594
morning drink,-0.9594
motion alerts,-0.9594
motion light,-0.9594
motion think,-0.9594
mounted garage,-0.9594
move next,-0.9594
movie full,-0.9594
much content,-0.9594
much flavor,-0.9594
much get,-0.9594
much harder,-0.9594
much still,-0.9594
much thicker,-0.9594
much useless,-0.9594
music alexa,-0.9594
music something,-0.9594
must changed,-0.9594
name would,-0.9594
names like,-0.9594
natural ingredients,-0.9594
need credit,-0.9594
need spend,-0.9594
need upload,-0.9594
negative things,-0.9594
nest aware,-0.9594
nest doorbell,-0.9594
nest hub,-0.9594
network however,-0.9594
network like,-0.9594
never book,-0.9594
never give,-0.9594
never given,-0.9594
never gonna,-0.9594
never symptoms,-0.9594
new arrived,-0.9594
new form,-0.9594
new kitchen,-0.9594
new mexico,-0.9594
new pads,-0.9594
new software,-0.9594
new song,-0.9594
new user,-0.9594
new versions,-0.9594
newly built,-0.9594
next device,-0.9594
nice tool,-0.9594
nice would,-0.9594
none buy,-0.9594
none really,-0.9594
normal writing,-0.9594
norton products,-0.9594
norton website,-0.9594
nothing get,-0.9594
nothing going,-0.9594
noticed packaging,-0.9594
office work,-0.9594
often seem,-0.9594
old cotton,-0.9594
old modem,-0.9594
older kids,-0.9594
one annoying,-0.9594
one cam,-0.9594
one carefully,-0.9594
one gonna,-0.9594
one highest,-0.9594
one magazine,-0.9594
one options,-0.9594
one quick,-0.9594
one taking,-0.9594
one working,-0.9594
ones believe,-0.9594
open inside,-0.9594
open product,-0.9594
open second,-0.9594
open see,-0.9594
open top,-0.9594
